id,stn,lat,long,ele,state,v1,X,Y,coastal,stnlist,Year,Y1900,Y1901,Y1902,Y1903,Y1904,Y1905,Y1906,Y1907,Y1908,Y1909,Y1910,Y1911,Y1912,Y1913,Y1914,Y1915,Y1916,Y1917,Y1918,Y1919,Y1920,Y1921,Y1922,Y1923,Y1924,Y1925,Y1926,Y1927,Y1928,Y1929,Y1930,Y1931,Y1932,Y1933,Y1934,Y1935,Y1936,Y1937,Y1938,Y1939,Y1940,Y1941,Y1942,Y1943,Y1944,Y1945,Y1946,Y1947,Y1948,Y1949,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Average
1,USH00062658,41.95,-73.3667,167.6,CT,FALLS VILLAGE,-359703.6686,4696518.184,75702.86648,USH00062658,USH00062658,965,882.6,773.6,868.6,1002.8,664.8,1205.3,830.1,1162,968.6,905.5,662.8,715.6,793.9,760.1,927.3,817.3,1081.9,990.3,906.9,863.7,1035.5,811.7,1119.7,1059.1,1070.6,1089.9,1024.3,954.3,1313,1067.5,1121.5,1199.7,1179.5,1160.4,1125,947.8,1427.2,896.1,1161.8,1209.1,1312.8,1393.7,1136.5,1207.3,1639.3,920.8,1369.7,1391,1161.5,1392.4,1203.7,1234.8,1287.1,1189.4,1076.6,1312.8,1127.1,1469.2,1361.3,1285.3,1486,772,1416,1234.5,1178.1,1573.7,1476.4,1037.7,1199.3,1465.1,1128.6,1117.5,1389,917.4,1270.8,1227.1,820,910,776.7,1186.6,853.1,1142.7,1419.6,775.7,1055,1041.5,1087,1263.7,1170,1012.1,1264.5,1280,1053.1,831,775.9,961.5,1014.3,1318.8,799.2,1134.6,1099.311881
2,USH00063207,41.3506,-72.0394,12.2,CT,GROTON,-256579.3834,4617283.811,3562.694001,USH00063207,USH00063207,1136.9,1241.3,1229,1212.6,1326.7,1001.9,1560,1126,1118.9,1244.5,1088.9,1107.7,762.1,1355.5,1064.7,1138.7,1062.7,1072.7,1079,1391,1161,1451.5,1343.2,1298,1403.5,1096.6,1255.7,1163.9,1297.5,1121,1345.3,1190.9,1390.1,1172.9,881,1146.3,988.8,1261.2,939.7,1241.5,1172.2,1140.8,1012.3,1018.9,980.5,1053,562.2,868.2,1252,968.9,898.1,1077,1038.7,1201.3,810.8,1069.3,942.3,1163.1,823.9,1120.3,1260.5,1307.5,1291.1,1380.6,849.7,1099,1707.5,1244.1,999.4,732.1,1267.7,1016.9,1266.6,1208.1,955.6,1340.8,1082.1,923.2,1048.2,824.1,1285.5,919.9,1264,1205,861.9,1065.5,1098,1412,1395.5,1383.8,1232,1748.3,1165.2,1271.7,1073.1,1240,1043.3,1375.4,1713,1232.8,1305.6,1155.846535
3,USH00067970,41.1247,-73.5475,57.9,CT,STAMFORD 5 N,-386049.4251,4606567.126,5563.272788,USH00067970,USH00067970,1107.5,1088.9,709.2,694.4,1109.1,636.2,1535.1,1061.3,1310.3,1074.2,994.2,505.3,823.8,989.9,942.1,986,1062,1378.6,1091.8,787.5,950.1,1455.1,1147.5,1261.8,1361.1,1289.9,1165.7,790.9,630.9,1243.2,1227.1,1332.5,1384.9,1217.9,989.1,1122.5,627.3,1488.7,1029,1131.8,1354.1,1648.8,1069.3,1049.9,762.4,974.7,852.2,944.1,1420.4,1144.9,1162.5,999.2,1320.3,827.2,1329.9,1107.6,1071.2,1046.4,1081.7,1812.3,1281.3,853.7,1149.2,1655,800.5,971.4,1425.1,1405.6,836.1,1003.5,1162.3,1147.8,1107.2,1282.6,1068.7,1619.9,1251.9,950.7,576.6,846.5,1448.5,839.9,965.7,1511,721,984.7,826.8,932.6,1421.1,1201.4,1141.3,1538.5,1398.6,1220,908.1,724.7,1303.9,1061.6,1403.2,1066.4,1239.4,1108.589109
4,USH00068138,41.795,-72.2283,198.1,CT,STORRS,-267079.0632,4668376.555,52465.88456,USH00068138,USH00068138,771.1,1001.8,1055.8,1080.6,1066.2,712.4,1633.7,1095.7,1221.5,1088.8,884.4,879.7,782.8,869.2,972.6,1172.6,969,1177.9,1065.9,1274,1098.1,1246.8,1004.5,1396.2,1292.4,1278.2,893.6,1123,1143.1,1243.4,994.2,1266.3,1435,1166.8,677.8,1120.3,1008.5,1400.6,1067.8,1221,1206.4,1228.3,1046.5,918.7,921.8,1258.4,823.4,997.8,1309.1,1158.6,1183.5,1240.5,1322,1186.5,1016.8,1265.4,1198.8,1423.2,1226.5,1125.9,1141.5,1361,1284.8,1526.2,962.1,1208.6,1549.5,1133.9,832.3,911.8,1533.1,1003.1,979.2,1639.3,971.5,1358.7,868.3,883,984.1,827.7,1128.1,876.9,1388,1470.9,759.7,993.6,1007.6,1327.5,1327.6,1268,1178.6,1633.3,1332.2,940.3,1077.7,1050,1083.5,1104.4,1576.4,1119,1257.4,1136.354455
5,USH00170100,44.3739,-68.2592,143.3,ME,ACADIA NP,80992.14613,4926870.264,388.9370611,USH00170100,USH00170100,1613.5,1295.6,1284,1031,1635.7,1081.6,1530.5,1567,1610.3,1246.7,1099.1,938.4,1224.9,1334.5,1256.1,1057.8,1592.4,1815,1153.5,1281.3,1217.6,1349.3,1084.6,1454.7,1440.4,1381.4,1378.9,1329.9,1195.4,1118.1,1098.9,1315.2,1520,1353.8,1060.1,943.4,980.3,1377.8,1429.2,996.6,1161.2,1451.6,1070.5,1025.5,771.5,1180,883.4,832.9,1240,1185.7,890,1048.7,912.2,884.2,951.5,893.2,964.9,1155.7,957.1,771.6,1091.6,869.8,851.4,930.5,755.1,776.6,1012.8,1140.4,1278.6,1220.2,1551.2,1135.4,1275.3,1269.6,1347.8,1394.6,1203.9,1521.2,1465.5,1048.3,1395.2,1146.5,1433.6,1574,1335.4,1279.9,1088.3,1495.9,1764.8,2139.7,1354,2130,1802.4,1438.4,1278.1,1228.1,1289.2,1592.3,1881.7,1552.1,1655.6,1256.444554
6,USH00170814,45.6603,-69.812,323.1,ME,BRASSUA DAM,-30657.95085,5078920.157,149039.4997,USH00170814,USH00170814,889.3,682.3,824.8,712.3,846.4,639.1,872.7,784.3,933.4,732.5,649.8,543.5,914.8,665.9,626.2,544.4,829.7,1015.6,788.9,828.1,845.6,844.8,621.9,889.8,800.4,1048.1,1105.2,987.4,1097.2,1085,713.8,902.4,914.2,1209.5,1243.5,1010.2,1199.5,1040.6,894.6,912.4,998.3,1121.7,1364.8,1384.9,1233.4,1372.9,1063.9,1093.3,1156.7,1299.2,1330.1,1462.6,1195.3,1343,1160.7,1328.9,1387.4,1195.5,1120.8,1269.3,1355.5,1170.6,1143.5,1140.8,1204.3,1211.8,1272.3,1169,1199.6,1145,1383.2,972.4,927.6,1037.4,1168.2,1276.1,1098.7,1305.3,1341.4,1102.4,1101.2,1061.7,973,1049.6,916.2,951.6,1120,1021.2,1330,1222.5,830.5,1168,1033.6,776.2,804.1,866.6,808.9,909.1,1135.1,748.9,902.5,1028.994059
7,USH00171628,44.9197,-69.2417,90.5,ME,CORINNA,7369.286776,4993015.273,55891.57255,USH00171628,USH00171628,1290.4,969.7,1297.4,831.3,1014.9,644.9,1081.5,1004.7,953.6,980.3,709.9,785.7,933.1,824.1,891.4,711.3,781.4,1221.2,810.1,906.3,877.7,778.9,660.4,1005.3,839.3,1005,1003.3,969.4,934.3,894.4,704.1,987.7,908,1048.7,1058.6,788.3,944.7,943.4,834.1,901.8,953,1052.2,969,1088.6,914.4,938.8,684.4,962.4,1211.6,975.5,994.7,1180,1087.7,997.2,723.4,771,1154.4,1034.6,725.6,977.7,968,972.4,486.7,870.7,975.5,1030.9,1098.5,856.4,1029.3,1058.5,1077.6,897.7,783.5,1148.3,1141.7,1245.7,1105.9,1100.4,1358.7,844,1031,821.9,1141.4,992.3,967.3,797.6,997.5,1005.6,1277.7,1373.2,963.6,1237.1,1102.7,986.8,987.5,1082.9,840.1,1056.1,1186.8,986.1,1160.8,972.0118812
8,USH00172426,44.9067,-66.9919,25.9,ME,EASTPORT,184865.955,4980342.312,5899.534057,USH00172426,USH00172426,1295.2,1094.6,1089.2,718.5,1461.6,844.5,1533.2,1047.5,1207.5,993.5,847.8,586.2,1348.2,960,1111.6,897.9,945,1387.1,830.7,765.9,995.7,976.1,884.8,1276.1,1054.1,1115.5,937.1,684.7,734.6,1110.1,890.2,1230.3,1023,1110.1,763.6,555.3,667.9,1020.9,1073.4,992.1,1187.5,1083.5,773.5,889.6,771.5,908.5,1010,797.1,1192.8,933,763.6,849.8,800.7,918,973.1,921.2,757.2,1028.6,768.9,801.9,985.4,945.1,652.9,1058.9,850.6,919.1,962.8,809,824.2,852.1,1108.1,941.2,970.5,1001.2,1195.2,1256.8,903.2,944.3,985.5,987.7,1085.4,893.7,1373.7,1177.3,925.3,819.4,741.3,1169.9,1573,1646.9,1181.8,1406.7,1208,1165.5,858.5,891.8,1193.1,1158.8,1587.2,1277.2,1280.4,1009.50495
9,USH00172765,44.6889,-70.1567,128,ME,FARMINGTON,-67116.50529,4973366.204,92303.27895,USH00172765,USH00172765,1073.3,846.3,1109.1,949.5,1151.9,754.5,1159,980,1180.6,920.3,801.9,740.9,976.7,950.6,1170.1,754.9,979.1,1230.3,975.1,1189.8,869.6,1333.3,1026.9,1245.1,1099.9,1235.7,1058.1,1102.4,1125.7,1109.4,1038.5,1229.1,1204.7,1214.9,1049.7,1129.6,1093.6,1147.1,1209.2,968.9,1210.2,1177.2,1147.8,1190,1001.9,1218.4,1118.5,1216.3,1340.1,1313.7,1397.2,1100.3,900.8,1326.7,1051.8,1167.4,1174.8,942.8,1149.8,1085.8,1410.5,1086.2,775.2,954.4,1062.6,1319.1,1149.7,1050.7,1244.6,1111.4,1365.4,1014.2,960,1097.1,1205.8,1130.2,981.7,1080.5,1206.1,1013.3,1288.3,1014.2,1197.5,1319,993.6,1155,1050.9,1343.5,1472.7,1709,1107.4,1424.5,1274.6,979.3,1146.3,1047.2,1152.5,1039.2,1830.3,1018.4,1035.6,1123.113861
10,USH00173046,44.2203,-69.7889,42.7,ME,GARDINER,-42310.14063,4918802.388,34007.98126,USH00173046,USH00173046,1206.4,980.7,1138.5,1102.7,1155.6,795.4,1101.6,919.2,1137.3,985.1,1001.8,883.6,1025.5,1036.6,1008.4,731,1014.6,1337.3,1040.7,1164.2,945.3,1306.7,905.3,1182.6,1141.5,1250.4,1066.7,1100.5,1296.1,1165.8,1155.8,1239.8,1187.8,1134,941.5,969,983.1,1165.2,1108.6,1002,1097.7,1203.6,937.2,1124.8,842,1055.6,962.6,900.5,1211.7,994.3,1077.4,1125.7,1068.4,1095,1074.9,1055.6,922.5,875.4,1010.3,921.2,1083,1082.8,685.4,1009,911.3,993.4,1038.9,938.3,1065.8,1029,1395.4,953.5,932.4,985.6,977.2,1353.7,1025.7,1145.5,1193.2,956,1365.3,907.3,1251.8,1281.5,967.4,989,1044.6,1309.2,1552.1,1786.4,1012.8,1508.9,1269.6,1022.6,1032,1119.5,1112.8,1132.8,1500.3,886.4,1144.7,1084.380198
